Model Name,OverSampling Method,Selected Features Count,Selected Features,Epochs,Class,Accuracy,Precision,Recall,F1-Score,,Class Counts Before oversampling ,Class Counts After oversampling 
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,0,0.913890541,0.968344156,0.994166667,0.981085526,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,1,0.913890541,0.68159204,0.756906077,0.717277487,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,2,0.913890541,0.952319588,0.92375,0.937817259,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,3,0.913890541,0.987373737,0.9775,0.98241206,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,4,0.913890541,0.997484277,0.99125,0.994357367,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,5,0.913890541,0.992177314,0.95125,0.971282706,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,6,0.913890541,0.74002751,0.6725,0.70464964,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,UNet,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,7,0.913890541,0.951865223,0.98875,0.969957082,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,0,0.912849494,0.971451876,0.9925,0.981863149,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,1,0.912849494,0.671165644,0.755524862,0.710851202,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
